front,phonetic,translation,sentence,sentence_translation
"Ik lees een roman.", "ik lees ayn roman", "Saya sedang membaca sebuah novel.", "Deze roman is erg boeiend.", "Novel ini sangat menarik."
"Hij zwemt in het meer.", "hy zwemt in het meer", "Dia sedang berenang di danau.", "Het meerwater is verfrissend.", "Air danau sangat menyegarkan."
"Ze kijkt naar een film.", "ze kijkt nar ayn film", "Dia sedang menonton film.", "Ze kijkt naar een romantische film.", "Dia sedang menonton film romantis."
"Ik heb een huisdier.", "ik heb ayn huisdier", "Saya memiliki hewan peliharaan.", "Mijn hond is erg speels.", "Anjing saya sangat lincah."
"We reizen naar Bali.", "we reizen nar Bali", "Kami akan bepergian ke Bali.", "We kijken uit naar de prachtige stranden van Bali.", "Kami tidak sabar melihat pantai-pantai indah di Bali."
"Hij speelt voetbal.", "hy speelt voetbal", "Dia bermain sepak bola.", "Hij is een getalenteerde voetballer.", "Dia adalah pemain sepak bola yang berbakat."
"Ze maakt een tekening.", "ze maakt ayn tekening", "Dia sedang membuat gambar.", "Ze is erg creatief.", "Dia sangat kreatif."
"Ik zing een lied.", "ik zing ayn lied", "Saya sedang menyanyikan lagu.", "Ik oefen voor het komende concert.", "Saya sedang berlatih untuk konser yang akan datang."
"We planten bomen.", "we planten bomen", "Kami menanam pohon.", "We doen ons best om de natuur te helpen.", "Kami berusaha membantu alam."
"Hij speelt schaak.", "hy speelt schaak", "Dia bermain catur.", "Hij is de kampioen in onze schaakclub.", "Dia adalah juara di klub catur kami."
"Ze leert Spaans.", "ze leert Spaans", "Dia sedang belajar bahasa Spanyol.", "Ze wil naar Spanje reizen volgend jaar.", "Dia ingin bepergian ke Spanyol tahun depan."
"Ik eet een appel.", "ik eet ayn appel", "Saya sedang makan apel.", "Ik probeer gezond te eten.", "Saya berusaha makan sehat."
"We spelen een bordspel.", "we spelen ayn bordspel", "Kami sedang bermain permainan papan.", "Monopoly is ons favoriete bordspel.", "Monopoli adalah permainan papan favorit kami."
"Hij leest de krant.", "hy leest de krant", "Dia sedang membaca koran.", "Hij leest elke ochtend de krant bij het ontbijt.", "Dia membaca koran setiap pagi saat sarapan."
"Ik speel gitaar.", "ik speel gitaar", "Saya sedang bermain gitar.", "Ik oefen elke avond gitaar.", "Saya berlatih gitar setiap malam."
"We kijken naar de zonsondergang.", "we kijken nar de zonsondergang", "Kami sedang menonton matahari terbenam.", "De zonsondergang is prachtig op het strand.", "Matahari terbenam sangat indah di pantai."
"Hij schrijft een brief.", "hy schrijft ayn brief", "Dia sedang menulis surat.", "Hij schrijft een brief aan zijn grootmoeder.", "Dia sedang menulis surat untuk neneknya."
"Ze rijdt paard.", "ze rijdt paard", "Dia sedang mengendarai kuda.", "Ze neemt elke week rijlessen.", "Dia mengambil pelajaran berkuda setiap minggu."
"Ik bak een taart.", "ik bak ayn taart", "Saya sedang membuat kue.", "Ik bak een appeltaart voor het dessert.", "Saya membuat kue apel untuk makan penutup."
"We bezoeken een geheime tuin.", "we bezoeken ayn geheime tuin", "Kami sedang mengunjungi taman rahasia.", "Er gaat een legende over deze geheime tuin.", "Ada legenda tentang taman rahasia ini."
"Hij ontdekt een oud manuscript.", "hy ontdekt ayn out manuscript", "Dia menemukan manuskrip kuno.", "Het oude manuscript bevat onbekende symbolen.", "Manuskrip kuno ini berisi simbol-simbol yang tidak dikenal."
"Ze vliegt met een luchtballon.", "ze vliegt met ayn luchtballon", "Dia sedang terbang dengan balon udara.", "Vanuit de luchtballon ziet ze het hele landschap.", "Dari balon udara, dia bisa melihat seluruh pemandangan."
"Ik verzamel zeldzame munten.", "ik verzamel zeldzame munten", "Saya mengumpulkan koin-koin langka.", "Deze zeldzame munt komt uit de 17e eeuw.", "Koin langka ini berasal dari abad ke-17."
"We volgen de kaart naar de schat.", "we volgen de kaart nar de schat", "Kami mengikuti peta menuju harta karun.", "De kaart leidt ons naar een verborgen grot.", "Peta ini membawa kami ke sebuah gua tersembunyi."
"Hij spreekt met de dieren.", "hy spreekt met de dieren", "Dia berbicara dengan hewan-hewan.", "Volgens het verhaal kan hij met dieren praten.", "Menurut cerita, dia bisa berbicara dengan hewan."
"Ze tekent in het zand.", "ze tekent in het zand", "Dia sedang menggambar di pasir.", "Ze tekent een groot hart in het zand.", "Dia menggambar sebuah hati besar di pasir."
"Ik maak een magische drank.", "ik maak ayn magische drank", "Saya sedang membuat ramuan ajaib.", "Deze drank kan iemand onzichtbaar maken.", "Ramuan ini bisa membuat seseorang menjadi tidak terlihat."
"We zoeken naar de verloren stad.", "we zoeken nar de verloren stad", "Kami sedang mencari kota yang hilang.", "De verloren stad is een mysterie dat we willen ontrafelen.", "Kota yang hilang adalah misteri yang ingin kami pecahkan."
"Hij bouwt een robot.", "hy bouwt ayn robot", "Dia sedang membuat robot.", "Zijn robot kan complexe taken uitvoeren.", "Robotnya bisa melakukan tugas-tugas yang kompleks."
"Ze danst in de regen.", "ze danst in de regen", "Dia sedang menari dalam hujan.", "Ze voelt zich vrij als ze in de regen danst.", "Dia merasa bebas saat menari dalam hujan."
"Ik schilder de sterrenhemel.", "ik schilder de sterrenhemel", "Saya sedang melukis langit berbintang.", "De sterrenhemel is mijn favoriete onderwerp om te schilderen.", "Langit berbintang adalah subjek favorit saya untuk dilukis."
"We ontdekken een nieuwe planeet.", "we ontdekken ayn nieuwe planeet", "Kami menemukan planet baru.", "De nieuwe planeet heeft een uniek klimaat.", "Planet baru ini memiliki iklim yang unik."
"Hij speelt een oud lied.", "hy speelt ayn out lied", "Dia sedang memainkan lagu lama.", "Het oude lied roept nostalgische gevoelens op.", "Lagu lama itu membangkitkan perasaan nostalgia."
"Ze droomt van vliegen.", "ze droomt van vliegen", "Dia bermimpi tentang terbang.", "In haar dromen vliegt ze over bergen en zeeën.", "Dalam mimpinya, dia terbang melewati gunung dan laut."
"Ik vertel een sprookje.", "ik vertel ayn sprookje", "Saya sedang menceritakan dongeng.", "Het sprookje gaat over een moedige prinses.", "Dongeng itu tentang seorang putri yang berani."
"We ontgrendelen een oud mysterie.", "we ontgrendelen ayn out mysterie", "Kami sedang membuka misteri kuno.", "Het oude mysterie heeft betrekking op een verdwenen beschaving.", "Misteri kuno ini berkaitan dengan peradaban yang telah hilang."
"Hij bevrijdt de draak.", "hy bevrijdt de draak", "Dia membebaskan naga.", "De draak is nu vrij om door de lucht te vliegen.", "Naga sekarang bebas untuk terbang di langit."
"Ze creëert een fantasiewereld.", "ze creëert ayn fantasiewereld", "Dia sedang menciptakan dunia fantasi.", "Haar fantasiewereld zit vol magische wezens.", "Dunia fantasi miliknya penuh dengan makhluk ajaib."
"Ik ontdek een geheime doorgang.", "ik ontdek ayn geheime doorgang", "Saya menemukan jalan rahasia.", "De geheime doorgang leidt naar een verborgen kamer.", "Jalan rahasia ini menuju ke ruangan tersembunyi."
"We navigeren door het labyrint.", "we navigeren door het labyrint", "Kami sedang menavigasi melalui labirin.", "Het labyrint is vol verrassingen en uitdagingen.", "Labirin ini penuh dengan kejutan dan tantangan."
"Hij decodeert de boodschap.", "hy decodeert de boodschap", "Dia sedang mendekode pesan.", "De boodschap komt van een onbekende bron.", "Pesan ini datang dari sumber yang tidak dikenal."
"Ze componeert een symfonie.", "ze componeert ayn symfonie", "Dia sedang menggubah simfoni.", "Haar symfonie is een meesterwerk van muzikale expressie.", "Simfoni miliknya adalah sebuah mahakarya ekspresi musik."
"We doorbreken de code.", "we doorbreken de code", "Kami sedang memecahkan kode.", "Het doorbreken van de code onthult een geheim bericht.", "Memecahkan kode ini mengungkapkan pesan rahasia."
"Hij plant een magische tuin.", "hy plant ayn magische tuin", "Dia sedang menanam taman ajaib.", "De magische tuin groeit met ongewone planten.", "Taman ajaib ini tumbuh dengan tanaman yang tidak biasa."
"Ze spreekt met de maan.", "ze spreekt met de maan", "Dia berbicara dengan bulan.", "Ze vraagt de maan om wijsheid in haar dromen.", "Dia meminta bulan untuk memberikan kebijaksanaan dalam mimpinya."
"Ik zing een lied voor de sterren.", "ik zing ayn lied voor de sterren", "Saya sedang menyanyikan lagu untuk bintang-bintang.", "Mijn lied weerklinkt in de stille nacht.", "Lagu saya bergema di malam yang sunyi."
"We vinden een verborgen waterval.", "we vinden ayn verborgen waterval", "Kami menemukan air terjun tersembunyi.", "De verborgen waterval is een wonder van de natuur.", "Air terjun tersembunyi ini adalah keajaiban dari alam."
"Hij leest de sterrenbeelden.", "hy leest de sterrenbeelden", "Dia sedang membaca zodiak.", "De sterrenbeelden vertellen verhalen uit de oudheid.", "Zodiak menceritakan kisah-kisah dari zaman dahulu."
"Ze bouwt een zandkasteel.", "ze bouwt ayn zandkasteel", "Dia sedang membuat istana pasir.", "Ze maakt het mooiste zandkasteel aan de kust.", "Dia membuat istana pasir terindah di pantai."
"Ik vlieg op een magisch tapijt.", "ik vlieg op ayn magisch tapijt", "Saya terbang dengan karpet ajaib.", "Het magische tapijt voert me naar verre landen.", "Karpet ajaib ini membawa saya ke negeri yang jauh."
"We organiseren een buurtfeest.", "we organiseren ayn buurtfeest", "Kami sedang mengadakan pesta kampung.", "Het buurtfeest brengt iedereen samen.", "Pesta kampung ini mengumpulkan semua orang."
"Hij repareert de fiets.", "hy repareert de fiets", "Dia sedang memperbaiki sepeda.", "Hij repareert zijn fiets in de garage.", "Dia memperbaiki sepedanya di garasi."
"Ze plant een moestuin.", "ze plant ayn moestuin", "Dia sedang menanam sayuran.", "Ze houdt ervan om verse groenten uit haar moestuin te eten.", "Dia suka makan sayuran segar dari kebunnya."
"Ik bereid een maaltijd voor.", "ik bereid ayn maaltijd voor", "Saya sedang mempersiapkan makanan.", "Ik kook een heerlijk diner voor ons.", "Saya sedang memasak makan malam yang lezat untuk kita."
"We renoveren het huis.", "we renoveren het huis", "Kami sedang merenovasi rumah.", "We maken plannen om de keuken te renoveren.", "Kami sedang merencanakan untuk merenovasi dapur."
"Hij traint voor de marathon.", "hy traint voor de marathon", "Dia sedang berlatih untuk maraton.", "Hij loopt elke dag om zich op de marathon voor te bereiden.", "Dia berlari setiap hari untuk mempersiapkan diri untuk maraton."
"Ze leert gitaar spelen.", "ze leert gitaar spelen", "Dia sedang belajar bermain gitar.", "Ze neemt gitaarlessen op zaterdag.", "Dia mengambil pelajaran gitar setiap hari Sabtu."
"Ik plan een vakantie.", "ik plan ayn vakantie", "Saya sedang merencanakan liburan.", "Ik ben een reis naar de bergen aan het plannen.", "Saya sedang merencanakan perjalanan ke pegunungan."
"We studeren voor het examen.", "we studeren voor het examen", "Kami sedang belajar untuk ujian.", "We besteden veel tijd aan het herzien van onze aantekeningen voor het examen.", "Kami menghabiskan banyak waktu untuk meninjau catatan kami untuk ujian."
"Hij maakt een wandeling in het park.", "hy maakt ayn wandeling in het park", "Dia sedang berjalan-jalan di taman.", "Hij vindt het heerlijk om 's ochtends vroeg in het park te wandelen.", "Dia sangat suka berjalan-jalan di taman di pagi hari."
"Ze bakt een taart.", "ze bakt ayn taart", "Dia sedang membuat kue.", "Ze bakt een heerlijke chocoladetaart.", "Dia membuat kue coklat yang lezat."
"Ik maak een foto van het landschap.", "ik maak ayn foto van het landschap", "Saya sedang memotret pemandangan.", "Ik probeer de schoonheid van het landschap vast te leggen.", "Saya mencoba menangkap keindahan pemandangan."
"We planten bomen voor het milieu.", "we planten bomen voor het milieu", "Kami sedang menanam pohon untuk lingkungan.", "We planten nieuwe bomen om het bos te herstellen.", "Kami menanam pohon baru untuk memulihkan hutan."
"Hij maakt een afspraak bij de tandarts.", "hy maakt ayn afspraak bij de tandarts", "Dia sedang membuat janji dengan dokter gigi.", "Hij moet een controle afspraak maken bij de tandarts.", "Dia perlu membuat janji untuk pemeriksaan dengan dokter gigi."
"Ik schrijf een boek over mijn reizen.", "ik schrijf ayn boek over mijn reizen", "Saya sedang menulis buku tentang perjalanan saya.", "Ik heb veel interessante ervaringen opgedaan tijdens mijn reizen.", "Saya memiliki banyak pengalaman menarik selama perjalanan saya."
"We starten een bedrijf.", "we starten ayn bedrijf", "Kami sedang memulai bisnis.", "We zijn bezig met het opstellen van een bedrijfsplan.", "Kami sedang membuat rencana bisnis."
"Hij leert programmeren.", "hy leert programmeren", "Dia sedang belajar pemrograman.", "Hij neemt online lessen om te leren programmeren.", "Dia mengambil pelajaran online untuk belajar pemrograman."
"Ze tekent een portret.", "ze tekent ayn portret", "Dia sedang menggambar potret.", "Ze tekent een portret van haar grootmoeder.", "Dia sedang menggambar potret neneknya."
"Ik bereid een presentatie voor.", "ik bereid ayn presentatie voor", "Saya sedang mempersiapkan presentasi.", "Ik werk aan de dia's voor mijn presentatie morgen.", "Saya sedang mengerjakan slide untuk presentasi saya besok."
"We leren een nieuwe taal.", "we leren ayn nieuwe taal", "Kami sedang belajar bahasa baru.", "We gebruiken een app om Spaans te leren.", "Kami menggunakan aplikasi untuk belajar Bahasa Spanyol."
"Hij traint zijn hond.", "hy traint zijn hond", "Dia sedang melatih anjingnya.", "Hij leert zijn hond nieuwe trucs.", "Dia sedang mengajari anjingnya trik baru."
"Ze maakt een wandeling in de natuur.", "ze maakt ayn wandeling in de natuur", "Dia sedang berjalan-jalan di alam.", "Ze houdt ervan om in de bergen te wandelen.", "Dia suka berjalan-jalan di pegunungan."
"Ik bereid een picknick voor.", "ik bereid ayn picknick voor", "Saya sedang mempersiapkan piknik.", "Ik pak een mand vol lekkernijen voor onze picknick.", "Saya mengemas keranjang penuh makanan enak untuk piknik kita."
"We doen boodschappen voor het diner.", "we doen boodschappen voor het diner", "Kami sedang berbelanja untuk makan malam.", "We halen verse groenten en vlees voor het diner.", "Kami membeli sayuran segar dan daging untuk makan malam."
"Hij schildert het huis.", "hy schildert het huis", "Dia sedang mengecat rumah.", "Hij kiest een lichte kleur om het huis te schilderen.", "Dia memilih warna terang untuk mengecat rumah."
"Ze naait een jurk.", "ze naait ayn jurk", "Dia sedang menjahit gaun.", "Ze gebruikt een mooi patroon om een zomerjurk te naaien.", "Dia menggunakan pola yang bagus untuk menjahit gaun musim panas."
"Ik plant bloemen in de tuin.", "ik plant bloemen in de tuin", "Saya sedang menanam bunga di kebun.", "Ik plant tulpen en narcissen in de tuin.", "Saya menanam tulip dan bunga daffodil di kebun."
"We plannen een roadtrip.", "we plannen ayn roadtrip", "Kami sedang merencanakan perjalanan jalan-jalan.", "We zijn een reisroute aan het plannen voor onze zomer roadtrip.", "Kami sedang merencanakan rute perjalanan untuk roadtrip musim panas kita."
"Ze schrijft een gedicht.", "ze schrijft ayn gedicht", "Dia sedang menulis puisi.", "Ze schrijft een gedicht over de lente.", "Dia menulis puisi tentang musim semi."
"Ik fotografeer de stad bij zonsondergang.", "ik fotografeer de stad bij zonsondergang", "Saya sedang memotret kota saat matahari terbenam.", "Ik zoek het perfecte uitzichtpunt om de stad bij zonsondergang te fotograferen.", "Saya mencari titik pandang yang sempurna untuk memotret kota saat matahari terbenam."
"We herstellen een oud meubelstuk.", "we herstellen ayn oud meubelstuk", "Kami sedang memperbaiki sebuah perabotan lama.", "We zijn bezig een antieke stoel opnieuw te bekleden.", "Kami sedang mengecat ulang sebuah kursi antik."
"Hij brouwt zijn eigen bier.", "hy brouwt zijn eigen bier", "Dia sedang membuat birnya sendiri.", "Hij is geobsedeerd door het perfectioneren van zijn huisgebrouwen bier.", "Dia terobsesi dengan menyempurnakan bir buatannya sendiri."
"Ze ontwerpt haar eigen kleding.", "ze ontwerpt haar eigen kleding", "Dia sedang mendesain pakaian sendiri.", "Ze tekent schetsen voor haar nieuwe lente-collectie.", "Dia menggambar sketsa untuk koleksi musim semi barunya."
"Ik organiseer een filmavond thuis.", "ik organiseer ayn filmavond thuis", "Saya sedang mengorganisir malam nonton di rumah.", "Ik ben popcorn aan het maken voor onze filmavond.", "Saya sedang membuat popcorn untuk malam nonton kita."
"Hij plant een verrassingsfeestje voor zijn vriend.", "hy plant ayn verrassingsfeestje voor zijn vriend", "Dia sedang merencanakan pesta kejutan untuk temannya.", "Hij is stiekem uitnodigingen aan het versturen voor het verrassingsfeestje.", "Dia sedang diam-diam mengirimkan undangan untuk pesta kejutan."
