front,phonetic,translation,sentence,sentence_translation
"Het regent buiten.", "het re-gent buy-ten", "It's raining outside.", "Het regent buiten.", "It's raining outside."
"Hij heeft zijn huiswerk al gedaan.", "hai heft zyn huis-werk ahl guh-dahn", "He has already done his homework.", "Hij heeft zijn huiswerk al gedaan.", "He has already done his homework."
"Ik ga boodschappen doen.", "ik ga bood-shap-pen doon", "I'm going to do the groceries.", "Ik ga boodschappen doen.", "I'm going to do the groceries."
"De hond is in de tuin.", "duh hond is in duh tu-in", "The dog is in the garden.", "De hond is in de tuin.", "The dog is in the garden."
"De trein was te laat.", "duh trayn vas tuh laat", "The train was too late.", "De trein was te laat.", "The train was too late."
"Hij speelt gitaar.", "hai speelt gi-taar", "He plays the guitar.", "Hij speelt gitaar.", "He plays the guitar."
"We hebben de bus gemist.", "we heb-ben duh bus ge-mist", "We missed the bus.", "We hebben de bus gemist.", "We missed the bus."
"Ik heb een boek gelezen.", "ik heb ayn book ge-leezen", "I have read a book.", "Ik heb een boek gelezen.", "I have read a book."
"Zij gaat morgen op reis.", "zai gaat morgen op reis", "She is traveling tomorrow.", "Zij gaat morgen op reis.", "She is traveling tomorrow."
"Ik wil graag een kopje koffie.", "ik vil grahg ayn kop-yuh kof-fee", "I would like a cup of coffee.", "Ik wil graag een kopje koffie.", "I would like a cup of coffee."
"We zijn op vakantie geweest.", "we zyn op va-kan-tee ge-weest", "We have been on vacation.", "We zijn op vakantie geweest.", "We have been on vacation."
"Kun je de deur openen?", "kun yuh duh dure open-en", "Can you open the door?", "Kun je de deur openen?", "Can you open the door?"
"We zullen daar om vijf uur zijn.", "we zullen dar ohm vife oor zyn", "We will be there at five o'clock.", "We zullen daar om vijf uur zijn.", "We will be there at five o'clock."
"Ik moet mijn kamer opruimen.", "ik moot meyn kamer op-ruy-men", "I need to clean my room.", "Ik moet mijn kamer opruimen.", "I need to clean my room."
"Waar is het dichtstbijzijnde ziekenhuis?", "war is het dickst-bye-zine-duh ziek-en-huis", "Where is the nearest hospital?", "Waar is het dichtstbijzijnde ziekenhuis?", "Where is the nearest hospital?"
"Ik heb vandaag een afspraak bij de tandarts.", "ik heb vandaag ayn af-sprak by duh tand-arts", "I have a dentist appointment today.", "Ik heb vandaag een afspraak bij de tandarts.", "I have a dentist appointment today."
"Ik heb mijn sleutels verloren.", "ik heb meyn sluy-tels ver-loren", "I have lost my keys.", "Ik heb mijn sleutels verloren.", "I have lost my keys."
"Het park is aan de rechterkant.", "het park is aan duh rech-ter-kant", "The park is on the right side.", "Het park is aan de rechterkant.", "The park is on the right side."
"Zij heeft de trein genomen.", "zy heeft duh trein genomen", "She took the train.", "Zij heeft de trein genomen.", "She took the train."
"De film begint om acht uur.", "de film begint ohm acht oor", "The movie starts at eight o'clock.", "De film begint om acht uur.", "The movie starts at eight o'clock."
"De bibliotheek is gesloten op zondag.", "de bib-lio-theek is ge-sloten op zon-dag", "The library is closed on Sunday.", "De bibliotheek is gesloten op zondag.", "The library is closed on Sunday."
"Het brood is nog warm.", "het brot is nog warm", "The bread is still warm.", "Het brood is nog warm.", "The bread is still warm."
"Kun je de lichten aandoen?", "kun yuh duh lich-ten aan-doen", "Can you turn on the lights?", "Kun je de lichten aandoen?", "Can you turn on the lights?"
"Het zwembad is niet open.", "het zwem-bad is niet open", "The swimming pool is not open.", "Het zwembad is niet open.", "The swimming pool is not open."
"We gaan morgen naar het strand.", "we gaan morgen nar het strand", "We're going to the beach tomorrow.", "We gaan morgen naar het strand.", "We're going to the beach tomorrow."
"Hij heeft een nieuwe auto gekocht.", "hy heeft ayn niew-uh auto ge-kocht", "He has bought a new car.", "Hij heeft een nieuwe auto gekocht.", "He has bought a new car."
"Zij heeft haar tas vergeten.", "zy heeft har tas ver-ge-ten", "She forgot her bag.", "Zij heeft haar tas vergeten.", "She forgot her bag."
"Ik ben allergisch voor pinda's.", "ik ben a-ler-gisch voor pin-da's", "I am allergic to peanuts.", "Ik ben allergisch voor pinda's.", "I am allergic to peanuts."
"Het is tijd om naar bed te gaan.", "het is tyd ohm nar bed tuh gaan", "It's time to go to bed.", "Het is tijd om naar bed te gaan.", "It's time to go to bed."
"De bus komt over vijf minuten.", "de bus komt oh-ver vife min-oot-en", "The bus is coming in five minutes.", "De bus komt over vijf minuten.", "The bus is coming in five minutes."
"Ik ben mijn paspoort kwijt.", "ik ben meyn pass-poort kwijt", "I lost my passport.", "Ik ben mijn paspoort kwijt.", "I lost my passport."
"Ik heb een tafel gereserveerd.", "ik heb ayn taf-el ge-reserveerd", "I have reserved a table.", "Ik heb een tafel gereserveerd.", "I have reserved a table."
"Waar is de dichtstbijzijnde supermarkt?", "war is duh dickst-bye-zine-duh super-markt", "Where is the nearest supermarket?", "Waar is de dichtstbijzijnde supermarkt?", "Where is the nearest supermarket?"
"Hij is mijn beste vriend.", "hy is meyn beste friend", "He is my best friend.", "Hij is mijn beste vriend.", "He is my best friend."
"Ik hou van dit liedje.", "ik how van dit lied-je", "I love this song.", "Ik hou van dit liedje.", "I love this song."
"We zijn laat voor de film.", "we zyn laat voor de film", "We are late for the movie.", "We zijn laat voor de film.", "We are late for the movie."
"Kun je de radio uitzetten?", "kun yuh duh radio out-zet-ten", "Can you turn off the radio?", "Kun je de radio uitzetten?", "Can you turn off the radio?"
"Het eten is klaar.", "het eten is klahr", "The food is ready.", "Het eten is klaar.", "The food is ready."
"We gaan volgende week kamperen.", "we gaan volgende week kam-peren", "We're going camping next week.", "We gaan volgende week kamperen.", "We're going camping next week."
"Ik moet nog veel leren.", "ik moot nog veehl leren", "I still have a lot to learn.", "Ik moet nog veel leren.", "I still have a lot to learn."
"Hij heeft haar een bloem gegeven.", "hy heeft har ayn bloem ge-geven", "He gave her a flower.", "Hij heeft haar een bloem gegeven.", "He gave her a flower."
"We hadden een geweldige tijd.", "we had-den ayn ge-wel-dige tyd", "We had a great time.", "We hadden een geweldige tijd.", "We had a great time."
"Ik heb hoofdpijn.", "ik heb hooft-pyn", "I have a headache.", "Ik heb hoofdpijn.", "I have a headache."
"Kan ik het menu alstublieft zien?", "kan ik het menu alst-oo-bleeft zeen", "Can I see the menu, please?", "Kan ik het menu alstublieft zien?", "Can I see the menu, please?"
"Er is een boekwinkel naast het café.", "er is ayn boek-winkel nast het cafe", "There is a bookstore next to the cafe.", "Er is een boekwinkel naast het café.", "There is a bookstore next to the cafe."
"Het concert was geweldig.", "het concert was ge-wel-dig", "The concert was amazing.", "Het concert was geweldig.", "The concert was amazing."
"Ik houd niet van koude koffie.", "ik houdt niet van kow-de koffie", "I don't like cold coffee.", "Ik houd niet van koude koffie.", "I don't like cold coffee."
"Het museum is gratis op zondag.", "het museum is gratis op zondag", "The museum is free on Sundays.", "Het museum is gratis op zondag.", "The museum is free on Sundays."
"De kinderen spelen in de tuin.", "de kinderen spelen in de tuin", "The children are playing in the garden.", "De kinderen spelen in de tuin.", "The children are playing in the garden."
"Ik kan niet zwemmen.", "ik kan niet zwemmen", "I can't swim.", "Ik kan niet zwemmen.", "I can't swim."
"We moeten de bus nemen.", "we moeten de bus nemen", "We need to take the bus.", "We moeten de bus nemen.", "We need to take the bus."
"Het was een lange dag.", "het was een lange dag", "It was a long day.", "Het was een lange dag.", "It was a long day."
"Mijn zus is verpleegkundige.", "meyn zus is ver-pleeg-kundige", "My sister is a nurse.", "Mijn zus is verpleegkundige.", "My sister is a nurse."
"Kun je langzaam spreken?", "kun yuh langs-aam spreken", "Can you speak slowly?", "Kun je langzaam spreken?", "Can you speak slowly?"
"Hij heeft een leuke hond.", "hy heeft ayn loo-ke hond", "He has a nice dog.", "Hij heeft een leuke hond.", "He has a nice dog."
"Ik ben bang voor spinnen.", "ik ben bang voor spinnen", "I am scared of spiders.", "Ik ben bang voor spinnen.", "I am scared of spiders."
"We moeten vroeg opstaan.", "we moeten vroeg op-staan", "We need to wake up early.", "We moeten vroeg opstaan.", "We need to wake up early."
"Het restaurant is vol.", "het restaurant is vol", "The restaurant is full.", "Het restaurant is vol.", "The restaurant is full."
"Kun je me de weg wijzen?", "kun yuh me de weg wijzen", "Can you show me the way?", "Kun je me de weg wijzen?", "Can you show me the way?"
"Ik ben verdwaald.", "ik ben ver-dwaald", "I am lost.", "Ik ben verdwaald.", "I am lost."
"We zijn bijna daar.", "we zijn byna daar", "We're almost there.", "We zijn bijna daar.", "We're almost there."
"Ik heb een paraplu nodig.", "ik heb een para-plu no-dig", "I need an umbrella.", "Ik heb een paraplu nodig.", "I need an umbrella."
"Het is tijd om te vertrekken.", "het is tyd om te ver-trek-ken", "It's time to leave.", "Het is tijd om te vertrekken.", "It's time to leave."
"Mijn telefoon is leeg.", "meyn telefoon is leeg", "My phone is dead.", "Mijn telefoon is leeg.", "My phone is dead."
"Kun je me helpen?", "kun yuh me helpen", "Can you help me?", "Kun je me helpen?", "Can you help me?"
